2021-11-15 08:35:03 [main] [parse] [22] INFO  rutkouski.infohandling.parser.impl.LetterParser - Letter parsing was successful: H e l l o 
2021-11-15 08:35:04 [main] [parse] [44] INFO  rutkouski.infohandling.parser.impl.WordWithPunctuationParser - Word with punctuation parsing was successful: H e l l o 
2021-11-15 08:35:04 [main] [parse] [22] INFO  rutkouski.infohandling.parser.impl.MathSignParser - Equation parsing was successful: + * / - 
2021-11-15 08:35:04 [main] [parse] [22] INFO  rutkouski.infohandling.parser.impl.LetterParser - Letter parsing was successful: w o r l d 
2021-11-15 08:35:04 [main] [parse] [44] INFO  rutkouski.infohandling.parser.impl.WordWithPunctuationParser - Word with punctuation parsing was successful: w o r l d 
2021-11-15 08:35:04 [main] [parse] [34] INFO  rutkouski.infohandling.parser.impl.LexemeParser - Lexeme parsing was successful: H e l l o + * / - w o r l d 
2021-11-15 08:35:04 [main] [parse] [27] INFO  rutkouski.infohandling.parser.impl.SentenceParser - Sentence parsing was successful: H e l l o + * / - w o r l d 
2021-11-15 08:35:25 [main] [parse] [22] INFO  rutkouski.infohandling.parser.impl.LetterParser - Letter parsing was successful: H e l l o 
2021-11-15 08:35:25 [main] [parse] [44] INFO  rutkouski.infohandling.parser.impl.WordWithPunctuationParser - Word with punctuation parsing was successful: H e l l o 
2021-11-15 08:35:25 [main] [parse] [22] INFO  rutkouski.infohandling.parser.impl.MathSignParser - Equation parsing was successful: + * / - 
2021-11-15 08:35:25 [main] [parse] [22] INFO  rutkouski.infohandling.parser.impl.LetterParser - Letter parsing was successful: w o r l d 
2021-11-15 08:35:25 [main] [parse] [44] INFO  rutkouski.infohandling.parser.impl.WordWithPunctuationParser - Word with punctuation parsing was successful: w o r l d 
2021-11-15 08:35:25 [main] [parse] [34] INFO  rutkouski.infohandling.parser.impl.LexemeParser - Lexeme parsing was successful: H e l l o + * / - w o r l d 
2021-11-15 08:35:25 [main] [parse] [27] INFO  rutkouski.infohandling.parser.impl.SentenceParser - Sentence parsing was successful: H e l l o + * / - w o r l d 
2021-11-15 08:35:39 [main] [parse] [22] INFO  rutkouski.infohandling.parser.impl.LetterParser - Letter parsing was successful: H e l l o 
2021-11-15 08:35:39 [main] [parse] [44] INFO  rutkouski.infohandling.parser.impl.WordWithPunctuationParser - Word with punctuation parsing was successful: H e l l o 
2021-11-15 08:35:39 [main] [parse] [22] INFO  rutkouski.infohandling.parser.impl.MathSignParser - Equation parsing was successful: + * / - 
2021-11-15 08:35:39 [main] [parse] [22] INFO  rutkouski.infohandling.parser.impl.LetterParser - Letter parsing was successful: w o r l d 
2021-11-15 08:35:39 [main] [parse] [44] INFO  rutkouski.infohandling.parser.impl.WordWithPunctuationParser - Word with punctuation parsing was successful: w o r l d 
2021-11-15 08:35:39 [main] [parse] [34] INFO  rutkouski.infohandling.parser.impl.LexemeParser - Lexeme parsing was successful: H e l l o + * / - w o r l d 
2021-11-15 08:35:39 [main] [parse] [27] INFO  rutkouski.infohandling.parser.impl.SentenceParser - Sentence parsing was successful: H e l l o + * / - w o r l d 
